,0,1,2,3,4
0,148,МСМ:Тема1,17877,453,39.4635761589403974
1,184,МСМ:Суицидальный контент,88683,4682,18.9412644169158479
2,185,МСМ:Тема3,53295,2945,18.0967741935483871
3,107,МСМ:Тема4,2661,272,9.7830882352941176
4,104,МСМ:Тема5,1329,143,9.2937062937062937
5,186,МСМ:Тема6,5450,694,7.8530259365994236
6,103,МСМ:Тема7,4437,614,7.2263843648208469
7,106,МСМ:Тема8,1029,154,6.6818181818181818
8,105,МСМ:Тема9,5396,916,5.8908296943231441
9,30,МСМ:Тема2,45400,10041,4.5214620057763171
10,97,МСМ:Тема10,3245,1052,3.0846007604562738
11,31,МСМ:Тема11,5885,2029,2.9004435682602267
12,29,МСМ:Тема12,8719,3331,2.6175322725908136
13,149,МСМ:Тема13,1651,805,2.0509316770186335
14,50,МСМ:Тема14,610,323,1.8885448916408669
15,112,МСМ:Тема15,1407,871,1.6153846153846154
16,51,МСМ:Тема16,462,287,1.6097560975609756
17,91,МСМ:Тема17,5592,3712,1.5064655172413793
18,98,МСМ:Тема18,10472,9122,1.1479938609953957
19,34,МСМ:Тема19,441,1234,0.35737439222042139384
20,33,МСМ:Тема20,91,625,0.14560000000000000000
21,32,МСМ:Тема21,71,1101,0.06448683015440508629
