,index,0
0,МСМ:Тема1,0.28949202319619705
1,МСМ:Суицидальный контент,0.35080922865013775
2,МСМ:Тема3,0.2901665399765047
3,МСМ:Тема4,0.15192743764172337
4,МСМ:Тема5,1.0
5,МСМ:Тема6,0.41438050906209767
6,МСМ:Тема2,0.4769809165754533
7,МСМ:Тема7,0.2552504038772213
8,МСМ:Тема8,0.20952380952380953
9,МСМ:Тема9,0.33408608773010334
10,МСМ:Тема10,
11,МСМ:Тема11,0.3999655738573169
12,МСМ:Тема12,0.4444135459152144
13,МСМ:Тема13,0.8145296752519597
14,МСМ:Тема14,0.13070127997115558
15,МСМ:Тема15,
16,МСМ:Тема16,0.41216531291683384
17,МСМ:Тема17,0.5745554519817343
18,МСМ:Тема18,0.5819672358239389
19,МСМ:Тема19,0.5719206132521264
