,Unnamed: 0_x,index,0_x,Unnamed: 0_y,0_y,1,2,3,4
0,0,МСМ:Тема1,0.289492023196197,0,148,МСМ:Тема1,17877,453,39.4635761589404
1,1,МСМ:Суицидальный контент,0.3508092286501377,1,184,МСМ:Суицидальный контент,88683,4682,18.94126441691585
2,2,МСМ:Тема3,0.2901665399765047,2,185,МСМ:Тема3,53295,2945,18.096774193548388
3,3,МСМ:Тема4,0.1519274376417233,3,107,МСМ:Тема4,2661,272,9.783088235294116
4,4,МСМ:Тема5,1.0,4,104,МСМ:Тема5,1329,143,9.293706293706292
5,5,МСМ:Тема6,0.4143805090620976,5,186,МСМ:Тема6,5450,694,7.853025936599423
6,6,МСМ:Тема2,0.4769809165754533,9,30,МСМ:Тема2,45400,10041,4.521462005776317
7,7,МСМ:Тема7,0.2552504038772213,6,103,МСМ:Тема7,4437,614,7.226384364820848
8,8,МСМ:Тема8,0.2095238095238095,7,106,МСМ:Тема8,1029,154,6.681818181818182
9,9,МСМ:Тема9,0.3340860877301033,8,105,МСМ:Тема9,5396,916,5.890829694323144
10,10,МСМ:Тема10,,10,97,МСМ:Тема10,3245,1052,3.0846007604562735
11,11,МСМ:Тема11,0.3999655738573169,11,31,МСМ:Тема11,5885,2029,2.900443568260227
12,12,МСМ:Тема12,0.4444135459152144,12,29,МСМ:Тема12,8719,3331,2.6175322725908137
13,13,МСМ:Тема13,0.8145296752519597,13,149,МСМ:Тема13,1651,805,2.050931677018633
14,14,МСМ:Тема14,0.1307012799711555,14,50,МСМ:Тема14,610,323,1.8885448916408667
15,15,МСМ:Тема15,,15,112,МСМ:Тема15,1407,871,1.6153846153846154
16,16,МСМ:Тема16,0.4121653129168338,16,51,МСМ:Тема16,462,287,1.6097560975609757
17,17,МСМ:Тема17,0.5745554519817343,17,91,МСМ:Тема17,5592,3712,1.5064655172413792
18,18,МСМ:Тема18,0.5819672358239389,18,98,МСМ:Тема18,10472,9122,1.1479938609953957
19,19,МСМ:Тема19,0.5719206132521264,19,34,МСМ:Тема19,441,1234,0.3573743922204213
